RecordId,meetingid,rep_new,policy_level,date,organisation,purpose,department,Year,Quarter,Period
1,41,Dominic Grieve QC MP,Attorney General,2012-01-01T00:00:00Z,,,ago,2012,Q1,2012 Q1
2,42,Dominic Grieve QC MP,Attorney General,2012-02-01T00:00:00Z,,,ago,2012,Q1,2012 Q1
3,43,Dominic Grieve QC MP,Attorney General,2012-02-01T00:00:00Z,,,ago,2012,Q1,2012 Q1
4,44,Dominic Grieve QC MP,Attorney General,2012-02-01T00:00:00Z,,,ago,2012,Q1,2012 Q1
5,45,Dominic Grieve QC MP,Attorney General,2012-03-01T00:00:00Z,,,ago,2012,Q1,2012 Q1
6,46,Dominic Grieve QC MP,Attorney General,2012-03-01T00:00:00Z,,,ago,2012,Q1,2012 Q1
7,47,Solicitor General Edward Garnier QC MP,Solicitor General,2012-01-01T00:00:00Z,,,ago,2012,Q1,2012 Q1
8,48,Solicitor General Edward Garnier QC MP,Solicitor General,2012-01-01T00:00:00Z,,,ago,2012,Q1,2012 Q1
9,49,Solicitor General Edward Garnier QC MP,Solicitor General,2012-02-01T00:00:00Z,,,ago,2012,Q1,2012 Q1
10,50,Solicitor General Edward Garnier QC MP,Solicitor General,2012-02-01T00:00:00Z,,,ago,2012,Q1,2012 Q1
11,51,Solicitor General Edward Garnier QC MP,Solicitor General,2012-03-01T00:00:00Z,,,ago,2012,Q1,2012 Q1
12,52,Dominic Grieve QC MP,Attorney General,2012-05-01T00:00:00Z,,,ago,2012,Q2,2012 Q2
13,53,Dominic Grieve QC MP,Attorney General,2012-05-01T00:00:00Z,,,ago,2012,Q2,2012 Q2
14,54,Dominic Grieve QC MP,Attorney General,2012-05-01T00:00:00Z,,,ago,2012,Q2,2012 Q2
15,55,Dominic Grieve QC MP,Attorney General,2012-05-01T00:00:00Z,,,ago,2012,Q2,2012 Q2
16,56,Dominic Grieve QC MP,Attorney General,2012-05-01T00:00:00Z,,,ago,2012,Q2,2012 Q2
17,57,Dominic Grieve QC MP,Attorney General,2012-05-01T00:00:00Z,,,ago,2012,Q2,2012 Q2
18,58,Solicitor General Edward Garnier QC MP,Solicitor General,2012-05-01T00:00:00Z,,,ago,2012,Q2,2012 Q2
19,59,Dominic Grieve QC MP,Attorney General,2012-07-01T00:00:00Z,,,ago,2012,Q3,2012 Q3
20,60,Dominic Grieve QC MP,Attorney General,2012-07-01T00:00:00Z,,,ago,2012,Q3,2012 Q3
21,61,Dominic Grieve QC MP,Attorney General,2012-09-01T00:00:00Z,,,ago,2012,Q3,2012 Q3
22,62,Oliver Heald QC MP,Solicitor General,2012-09-01T00:00:00Z,,,ago,2012,Q3,2012 Q3
23,63,Edward Garnier QC MP,Solicitor General,2012-07-01T00:00:00Z,,,ago,2012,Q3,2012 Q3
24,64,Edward Garnier QC MP,Solicitor General,2012-07-01T00:00:00Z,,,ago,2012,Q3,2012 Q3
25,65,Edward Garnier QC MP,Solicitor General,2012-07-01T00:00:00Z,,,ago,2012,Q3,2012 Q3
26,66,Dominic Grieve QC MP,Attorney General,2012-10-01T00:00:00Z,,,ago,2012,Q4,2012 Q4
27,67,Dominic Grieve QC MP,Attorney General,2012-10-01T00:00:00Z,,,ago,2012,Q4,2012 Q4
28,68,Dominic Grieve QC MP,Attorney General,2012-11-01T00:00:00Z,,,ago,2012,Q4,2012 Q4
29,69,Dominic Grieve QC MP,Attorney General,2012-12-01T00:00:00Z,,,ago,2012,Q4,2012 Q4
30,70,Dominic Grieve QC MP,Attorney General,2012-12-01T00:00:00Z,,,ago,2012,Q4,2012 Q4
31,71,Oliver Heald QC MP,Solicitor General,2012-12-01T00:00:00Z,,,ago,2012,Q4,2012 Q4
32,72,Dominic Grieve QC MP,Attorney General,2013-01-01T00:00:00Z,,,ago,2013,Q1,2013 Q1
33,73,Oliver Heald QC MP,Solicitor General,2013-01-01T00:00:00Z,,,ago,2013,Q1,2013 Q1
34,74,Oliver Heald QC MP,Solicitor General,2013-01-01T00:00:00Z,,,ago,2013,Q1,2013 Q1
35,75,Oliver Heald QC MP,Solicitor General,2013-01-01T00:00:00Z,,,ago,2013,Q1,2013 Q1
36,76,Oliver Heald QC MP,Solicitor General,2013-02-01T00:00:00Z,,,ago,2013,Q1,2013 Q1
37,77,Oliver Heald QC MP,Solicitor General,2013-03-01T00:00:00Z,,,ago,2013,Q1,2013 Q1
38,78,Dominic Grieve QC MP,Attorney General,2013-04-01T00:00:00Z,,,ago,2013,Q2,2013 Q2
39,79,Dominic Grieve QC MP,Attorney General,2013-06-01T00:00:00Z,,,ago,2013,Q2,2013 Q2
40,80,Dominic Grieve QC MP,Attorney General,2013-06-01T00:00:00Z,,,ago,2013,Q2,2013 Q2
41,81,Dominic Grieve QC MP,Attorney General,2013-06-01T00:00:00Z,,,ago,2013,Q2,2013 Q2
42,82,Dominic Grieve QC MP,Attorney General,2013-06-01T00:00:00Z,,,ago,2013,Q2,2013 Q2
43,83,Oliver Heald QC MP,Solicitor General,2013-06-01T00:00:00Z,,,ago,2013,Q2,2013 Q2
44,84,Oliver Heald QC MP,Solicitor General,2013-06-01T00:00:00Z,,,ago,2013,Q2,2013 Q2
45,85,Dominic Grieve QC MP,Attorney General,2018-07-01T19:00:00Z,,,ago,2013,Q3,2013 Q3
46,86,Dominic Grieve QC MP,Attorney General,2018-07-02T19:00:00Z,,,ago,2013,Q3,2013 Q3
47,87,Dominic Grieve QC MP,Attorney General,2018-07-21T19:00:00Z,,,ago,2013,Q3,2013 Q3
48,88,Oliver Heald QC MP,Solicitor General,2018-07-01T19:00:00Z,,,ago,2013,Q3,2013 Q3
49,89,Oliver Heald QC MP,Solicitor General,2018-07-02T19:00:00Z,,,ago,2013,Q3,2013 Q3
50,90,Oliver Heald QC MP,Solicitor General,2018-07-10T19:00:00Z,,,ago,2013,Q3,2013 Q3
51,91,Dominic Grieve QC MP,Attorney General,2018-10-15T19:00:00Z,,,ago,2013,Q4,2013 Q4
52,92,Dominic Grieve QC MP,Attorney General,2018-10-20T19:00:00Z,,,ago,2013,Q4,2013 Q4
53,93,Dominic Grieve QC MP,Attorney General,2018-11-25T00:00:00Z,,,ago,2013,Q4,2013 Q4
54,94,Dominic Grieve QC MP,Attorney General,2018-11-27T00:00:00Z,,,ago,2013,Q4,2013 Q4
55,95,Dominic Grieve QC MP,Attorney General,2018-12-03T00:00:00Z,,,ago,2013,Q4,2013 Q4
56,96,Dominic Grieve QC MP,Attorney General,2018-12-09T00:00:00Z,,,ago,2013,Q4,2013 Q4
57,97,Oliver Heald QC MP,Solicitor General,2018-10-15T19:00:00Z,,,ago,2013,Q4,2013 Q4
58,98,Oliver Heald QC MP,Solicitor General,2018-11-25T00:00:00Z,,,ago,2013,Q4,2013 Q4
59,99,Oliver Heald QC MP,Solicitor General,2018-12-09T00:00:00Z,,,ago,2013,Q4,2013 Q4
60,100,Dominic Grieve QC MP,Attorney General,2014-07-03T19:00:00Z,,,ago,2014,Q3,2014 Q3
61,101,Dominic Grieve QC MP,Attorney General,2014-07-13T19:00:00Z,,,ago,2014,Q3,2014 Q3
62,103,Jeremy Wright MP,Attorney General,2014-07-25T19:00:00Z,,,ago,2014,Q3,2014 Q3
63,104,Jeremy Wright MP,Attorney General,2014-09-09T19:00:00Z,,,ago,2014,Q3,2014 Q3
64,105,Robert Buckland QC MP,Solicitor General,2014-07-25T19:00:00Z,,,ago,2014,Q3,2014 Q3
65,106,Robert Buckland QC MP,Solicitor General,2014-09-09T19:00:00Z,,,ago,2014,Q3,2014 Q3
66,107,Jeremy Wright MP,Attorney General,2018-10-19T19:00:00Z,,,ago,2014,Q4,2014 Q4
67,108,Jeremy Wright MP,Attorney General,2018-10-22T19:00:00Z,,,ago,2014,Q4,2014 Q4
68,109,Jeremy Wright MP,Attorney General,2018-11-01T00:00:00Z,,,ago,2014,Q4,2014 Q4
